endTime,artistName,trackName,msPlayed
2020-01-16 15:51,Gemischtes Hack,#44 HETERONORMATIVES HACK,0
2020-01-16 15:51,Gemischtes Hack,#43 HEUTE IST MORGENS,519168
2020-01-16 16:02,Gemischtes Hack,#44 HETERONORMATIVES HACK,840
2020-01-16 17:42,Mobb Deep,Eye for a Eye (Your Beef Is Mines) (feat. Nas & Raekwon),103961
2020-01-16 17:46,Naughty By Nature,O.P.P. (Re-Recorded),250173
2020-01-16 17:52,Busta Rhymes,I Know What You Want (feat. Flipmode Squad),324306
2020-01-16 17:56,Xzibit,Paparazzi - Radio Version,236200
2020-01-16 17:58,The Beatnuts,Off the Books (feat. Big Punisher & Cuban Linx) (feat. Big Pun & Cuban Linx),167520
2020-01-16 18:02,Wu-Tang Clan,Triumph,210138
2020-01-16 18:05,Cypress Hill,Hits from the Bong,161440
2020-01-16 18:09,Wu-Tang Clan,Protect Ya Neck,291066
2020-01-16 18:10,Ying Yang Twins,Get Low,27091
2020-01-16 18:17,Goodie Mob,Cell Therapy,277132
2020-01-16 18:21,Too $hort,So You Want to Be a Gangster,244506
2020-01-16 18:21,Bone Crusher,Never Scared (feat. Killer Mike & T.I.) - Club Mix,30862
2020-01-16 18:29,Worakls,Salzburg,436150
2020-01-16 18:39,NTO,Trauma - Worakls Remix,600121
2020-01-16 18:46,Worakls,Bleu,466224
2020-01-16 18:53,NTO,The Morning After,408595
2020-01-16 19:00,NTO,La clé des champs,416000
2020-01-16 19:03,NTO,Alter Ego,178435
2020-01-16 19:11,Joachim Pastor,Reykjavik,456762
2020-01-16 19:43,Joachim Pastor,Millenium,388640
2020-01-16 21:10,Bee Gees,Spicks And Specks,28503
2020-01-16 21:10,Bee Gees,Spicks And Specks,5221
2020-01-16 21:10,Bee Gees,Spicks And Specks,7697
2020-01-16 21:10,Creedence Clearwater Revival,Fortunate Son,2633
2020-01-16 21:10,The Zombies,Time of the Season - Mono Version,1456
2020-01-16 21:10,Jimi Hendrix,All Along the Watchtower,261
2020-01-16 21:11,The Rolling Stones,Gimme Shelter,41253
2020-01-16 21:12,The Sonics,Have Love Will Travel,16142
2020-01-16 21:14,Bee Gees,Spicks And Specks,171533
2020-01-16 21:18,The Mamas & The Papas,California Dreamin' - Single Version,162373
2020-01-16 21:21,Scott McKenzie,San Francisco (Be Sure to Wear Flowers in Your Hair) - Single Version,178506
2020-01-16 21:25,Nancy Sinatra,Summer Wine,256280
2020-01-16 21:29,Simon & Garfunkel,"Mrs. Robinson - From ""The Graduate"" Soundtrack",240148
